speaker,speaker's job title,state,party,true counts,mostly true counts,half true counts,mostly false counts,false counts,pants on fire counts,count
Sidney Powell,,,Republican,0,0,0,0,1,1,2
Shirley Turner,State Senator,New Jersey,Democrat,1,0,0,1,0,0,2
Shirley Franklin,Former Mayor,Georgia,Democrat,0,0,1,0,0,1,2
Sher Valenzuela,,Delaware,Republican,0,0,1,0,0,0,2
Shaun Donovan,Former US Secretary of Housing and Urban Development,New York,Democrat,0,1,1,0,0,0,2
Seth Magaziner,General Treasurer,Rhode Island,Democrat,1,1,0,0,0,0,2
Senior Citizens League,,Virginia,None,0,0,0,1,1,0,2
Senfronia Thompson,,Texas,Democrat,1,0,0,0,0,0,2
Senate Republican Conference,,"Washington, D.C.",Republican,0,0,1,1,0,0,2
Senate Democrats,US Senator,None,Democrat,1,0,0,1,0,0,2
Secure America Now,,,None,0,1,0,1,0,0,2
Sean Patrick Maloney,,New York,Democrat,1,1,0,0,0,0,2
Scott Surovell,,Virginia,Democrat,0,1,1,0,0,0,2
Scott Randolph,,Florida,Democrat,0,0,1,0,1,0,2
Scott Pruitt,,,Republican,0,0,0,1,1,0,2
Scott Peters,US Representative,California,Democrat,1,1,0,0,0,0,2
Scott Keyes,,,None,0,0,0,1,0,1,2
Scott Garrett,,New Jersey,Republican,1,0,0,1,0,0,2
Scott Desjarlais,,,Republican,0,1,0,1,0,0,2
Scot Ross,,,Activist,0,0,1,1,0,0,2
Sarah Silverman,,,Democrat,1,0,1,0,0,0,2
Sarah Godlewski,,,Democrat,1,0,1,0,0,0,2
Sara Stevenson,,Texas,None,1,0,0,1,0,0,2
Sara Meaney,,,None,1,0,0,0,1,0,2
Samantha Bee,,,None,1,1,0,0,0,0,2
Safety For All Initiative,,,None,1,1,0,0,0,0,2
S.E. Cupp,,,Republican,1,0,1,0,0,0,2
Ryan Zinke,,,Republican,0,0,0,0,2,0,2
Ryan Frazier,,Colorado ,Republican,0,0,1,0,0,0,2
Ronna Mcdaniel,,,Republican,0,1,1,0,0,0,2
Ronda Storms,,Florida,Republican,1,0,0,0,0,0,2
Ron Oakley,,Florida,Republican,0,0,0,1,0,0,2
Ron Maag,,Ohio,Republican,0,0,0,1,1,0,2
Ron Dermer,,,None,0,0,0,2,0,0,2
Ron Book,,Florida,None,0,0,0,0,1,0,2
Ron Amstutz,,Ohio,Republican,1,1,0,0,0,0,2
Roger Stone,,Florida,Libertarian,0,0,0,0,1,1,2
Roger Roth,,,Republican,1,0,0,0,0,1,2
Roger Goodell,,,None,1,1,0,0,0,0,2
Rod Monroe,,Oregon,Democrat,0,0,0,0,2,0,2
Robyn Vining,,,Democrat,1,0,1,0,0,0,2
Robin Wright,,"Washington, D.C.",None,1,0,0,0,0,0,2
Roberto Dasilva,,,Democrat,0,1,0,1,0,0,2
Robert Watson,,Rhode Island,Republican,0,0,0,0,1,0,2
Robert Sarvis,,Virginia,Libertarian,1,1,0,0,0,0,2
Robert Puente,,Texas,None,0,0,1,0,0,0,2
Robert Henneke,,Texas,Organization,0,0,0,1,0,0,2
Robert Healey,,Rhode Island,Independent,1,0,0,1,0,0,2
Robby Mook,,New York,Democrat,0,2,0,0,0,0,2
Rob Turner,,Florida,Republican,1,1,0,0,0,0,2
Rob Teilhet,,Georgia,Democrat,0,0,0,1,1,0,2
Ritch Workman,,Florida,Republican,0,0,0,1,1,0,2
Right To Rise,,,Republican,1,0,1,0,0,0,2
Rick Lazio,,,Republican,0,0,0,1,0,0,2
Rick Green,,,Republican,0,0,1,0,1,0,2
Richard Tomlins,,Rhode Island,Democrat,0,0,0,0,0,1,2
Richard Licht,,Rhode Island,Democrat,2,0,0,0,0,0,2
Richard Hudson,,,Republican,0,0,1,1,0,0,2
Richard Ferruccio,,Rhode Island,Newsmaker,1,0,0,0,1,0,2
Richard Clarke,,,None,0,0,0,1,0,0,2
Rich Lowry,,,None,1,0,0,1,0,0,2
Rhode Island Center For Freedom And Prosperity,,,Organization,0,0,1,1,0,0,2
Revitalize Cobb,,Georgia,None,0,0,1,1,0,0,2
Republican State Leadership Committee,,,Republican,0,0,1,0,0,1,2
Republican Jewish Coalition,,"Washington, D.C.",Republican,0,2,0,0,0,0,2
Renee Unterman,,Georgia,Republican,0,0,2,0,0,0,2
"Red, White And Blue Fund",,,None,1,0,0,0,1,0,2
Red State Wave,,,None,0,0,0,0,0,2,2
Rebuilding America Now,,,Organization,0,0,0,2,0,0,2
Rebecca Bradley,,,None,0,1,0,0,1,0,2
React365.Com,,,None,0,0,0,0,0,2,2
Raymond Lesniak,,,Democrat,0,0,2,0,0,0,2
Raymond Bateman,,,Republican,1,0,0,0,1,0,2
Randolph Bracy,,,Democrat,1,1,0,0,0,0,2
Randi Weingarten,,,None,0,0,1,1,0,0,2
Rana Foroohar,,,None,1,1,0,0,0,0,2
Progressive Choice Florida,,,Organization,1,0,0,1,0,0,2
Presente.Org,,,None,1,0,0,0,1,0,2
Portland Association Of Teachers,,,Organization,0,0,1,1,0,0,2
Politicono.Com,,,None,0,0,0,0,0,2,2
Pink Slip Rick,,Florida,Democrat,0,1,0,0,0,1,2
Physicians Committee For Responsible Medicine,,,Organization,0,0,1,0,1,0,2
Philip Van Cleave,,Virginia,Organization,0,1,0,0,2,0,2
Peter Schweizer,,,None,1,0,0,0,1,0,2
Peter Orszag,,,Democrat,1,0,0,0,1,0,2
Pete Sessions,,Texas,Republican,0,0,1,1,0,0,2
Pete Hegseth,,Minnesota,Republican,0,1,0,1,0,0,2
People For The Ethical Treatment Of Animals,,,None,0,0,2,0,0,0,2
People For The American Way,,,None,0,0,0,2,0,0,2
Peggy Lehner,,Ohio,Republican,1,0,0,0,0,0,2
Peggy Hubbard,,,Republican,0,0,0,2,0,0,2
Paula Dockery,,Florida,Republican,0,0,0,1,1,0,2
Paul Vallas,,,None,0,1,1,0,0,0,2
Paul Sperry,,,None,0,0,2,0,0,0,2
Paul Soglin,,,Democrat,0,0,1,0,1,0,2
Paul Sarlo,,New Jersey,Democrat,1,0,1,0,0,0,2
Paul Mango,,,Republican,0,1,1,0,0,0,2
Paul Hirschbiel,,Virginia,Democrat,0,0,0,0,0,1,2
Paul Doughty,,Rhode Island,Labor leader,1,1,0,0,0,0,2
Paul Bettencourt,,Texas,Republican,1,1,0,0,0,0,2
Paul Bedard,,,Republican,0,0,0,1,0,0,2
Patty Murray,,Washington,Democrat,1,0,1,0,0,0,2
Patrick Wales,,Virginia,None,1,0,0,0,0,0,2
Patrick Leahy,,Vermont,Democrat,0,1,1,0,0,0,2
Patience Roggensack,,Wisconsin,None,1,1,0,0,0,0,2
Pat Quinn,,Illinois,Democrat,0,0,1,0,0,1,2
Pat Mullins,,Virginia,Republican,1,0,0,0,0,0,2
Pat Buchanan,,,Republican,0,0,1,1,0,0,2
Pam Stewart,,Florida,State official,0,0,2,0,0,0,2
Ourlandofthefree.Com,,,None,0,0,0,0,0,2,2
Orly Taitz,,,None,0,0,0,0,0,1,2
Organizing For Action,,,Democrat,0,1,1,0,0,0,2
Oregon Republican Party,,,Organization,0,0,0,1,1,0,2
Oregon Lottery,,,Organization,0,0,1,0,0,1,2
One Nation Pac,,,None,0,0,0,2,0,0,2
One America News,,,Republican,0,0,0,0,0,2,2
Ohio Right To Life,Advocacy Group,Ohio,None,0,1,0,1,0,0,2
Numbersusa,,,None,0,1,1,0,0,0,2
Nowthis,,,Journalist,0,0,0,0,1,1,2
North Carolina Democratic Party,,,Democrat,0,0,1,1,0,0,2
No On 56 Campaign,,,Organization,0,0,0,2,0,0,2
Nita Lowey,,New York,Democrat,1,0,0,0,1,0,2
Nikki Fried,,,Democrat,0,1,0,1,0,0,2
Nick Schroer,,,Republican,0,1,0,0,0,1,2
Nick Fish,,Oregon,None,0,1,0,0,1,0,2
Nicholas Langworthy,,,Republican,0,1,0,0,1,0,2
Nicholas Burns,,,None,0,0,1,1,0,0,2
Newsflash,,,None,0,0,0,1,0,1,2
New Jersey Tea Party,,New Jersey,Republican,0,0,1,0,0,0,2
New Jersey Sierra Club,,,None,0,0,2,0,0,0,2
New Jersey Republican State Committee,,New Jersey,Republican,0,0,0,0,1,1,2
New Day For America,,,Organization,0,0,1,0,1,0,2
New Century Times,,,None,0,0,0,0,2,0,2
New Boston Republican Committee,,New Hampshire,Republican,0,0,0,0,1,0,2
New Approach Oregon,,Oregon,Organization,0,0,0,1,1,0,2
Nevada State Democratic Party,,Nevada, Democrat,0,0,0,0,1,0,2
Neera Tanden,,,Newsmaker,1,1,0,0,0,0,2
Naturalnews.Com,,,None,0,0,0,0,2,0,2
National Organization For Marriage,,,Organization,0,0,0,0,1,1,2
National Association For Gun Rights,,,None,0,0,0,1,0,1,2
Nancy Mace,,,Republican,0,0,1,1,0,0,2
Nancy Denuccio,,,Newsmaker,0,1,0,0,1,0,2
Naacp,,,Organization,1,1,0,0,0,0,2
My City Bikes,,,None,0,0,0,0,1,1,2
Mun Choi,,,None,0,1,0,0,1,0,2
Mr. Conservative,,,None,0,0,0,0,1,1,2
Morgan Carroll,,Colorado,Democrat,0,0,0,1,0,0,2
Mo Brooks,,,Republican,0,0,0,1,0,1,2
Miro Weinberger,,,Democrat,0,2,0,0,0,0,2
Mike Wise,,,None,0,1,0,0,0,0,2
Mike White,,,Business leader,0,0,0,0,1,0,2
Mike Turzai,,Pennsylvania,Republican,0,0,1,0,1,0,2
Mike Pompeo,,,Republican,0,0,0,0,2,0,2
Mike Polensek,,Ohio,Democrat,1,0,1,0,0,0,2
Mike Murphy,,,Republican,0,0,0,0,1,0,2
Mike Males,,,None,0,1,0,0,0,0,2
Mike Kelly,,,Republican,0,0,0,0,1,1,2
Mike Hymes,,Virginia,Democrat,0,0,0,0,1,0,2
Mike Huebsch,,Wisconsin,Republican,0,0,0,0,1,1,2
Mike Foley,,Ohio,Democrat,0,2,0,0,0,0,2
Mike Fasano,,Florida ,Republican,0,2,0,0,0,0,2
Mike Braun,,,Republican,0,0,1,1,0,0,2
Mike Bishop,,,Republican,0,0,1,0,1,0,2
Mike Adams,,,None,0,0,0,0,0,2,2
Michael Turner,,Ohio,Republican,0,0,2,1,0,0,2
Michael Thurmond,,Georgia,Democrat,1,0,0,1,0,0,2
Michael Screnock,,,None,0,1,1,0,0,0,2
Michael Savage,,,None,0,0,1,0,0,1,2
Michael Morell,,,None,1,1,0,0,0,0,2
Michael Long,,,Conservative Party,0,0,0,1,1,0,2
Metro Atlanta Voter Education Network,,,None,1,0,1,0,0,0,2
Meria Carstarphen,,Texas,None,1,0,0,0,1,0,2
Melissa Melendez,,,Republican,0,0,0,1,1,0,2
Melanie Crozier,,,None,0,0,0,0,0,1,2
Media Matters,,,None,1,0,0,0,0,0,2
Maxine Waters,,,Democrat,0,0,0,1,0,1,2
Matthew Rothschild,,,None,0,1,1,0,0,0,2
Matt Wand,,Oregon,Republican,0,0,0,2,0,0,2
Matt Schlapp,,,Republican,0,0,0,0,1,1,2
Matt Patten,,Ohio,Democrat,0,0,0,0,1,0,2
Matt Lundy,,Ohio,Democrat,2,0,0,0,0,0,2
Matt Lauer,,,None,0,0,0,1,0,0,2
Matt Damon,,,None,0,1,1,0,0,0,2
Matt Caldwell,,Florida,Republican,0,0,1,0,1,0,2
Mary Matalin,,,Republican,0,0,0,1,1,0,2
Mary Margaret Oliver,,Georgia,Democrat,1,0,1,0,0,0,2
Markwayne Mullin,,,Republican,0,1,1,0,0,0,2
Markel Hutchins,,Georgia,Democrat,0,1,0,0,0,0,2
Mark Udall,,Colorado,Democrat,1,0,1,0,0,0,2
Mark Tapscott,,,None,0,0,0,1,0,0,2
Mark Shields,,"Washington, D.C.",None,1,0,0,1,0,0,2
Mark Cuban,,,None,0,1,0,1,0,0,2
Marilinda Garcia,,New Hampshire,Republican,0,1,0,1,0,0,2
Marie Newman,,,Democrat,0,0,1,0,1,0,2
Maria Sachs,,Florida,Democrat,1,0,0,1,0,0,2
Majority Pac,,,Democrat,0,0,1,1,0,0,2
Majority Forward,,,Democrat,0,0,0,1,1,0,2
Maine Democratic Party,,,Organization,0,0,1,1,0,0,2
Mahmoud Ahmadinejad,,,None,0,0,0,0,2,0,2
M.J. Hegar,,,Democrat,1,1,0,0,0,0,2
Luther Strange,,,Republican,0,0,1,0,1,0,2
Luis Garcia,,Florida,Democrat,0,1,0,1,0,0,2
Lucy Mcbath,,,Democrat,0,0,1,1,0,0,2
Lucy Flores,,Nevada,Democrat,0,1,0,0,0,0,2
Lowell Holtz,,,None,0,1,0,1,0,0,2
Lou Barletta,,,Republican,0,0,0,2,0,0,2
Lorraine Fende,,Ohio,Democrat,0,1,0,0,0,0,2
Lon Burnam,,Texas,Democrat,0,0,0,1,1,0,2
Log Cabin Republicans,,,Republican,0,2,0,0,0,0,2
Lizzie Pannill Fletcher,,,Democrat,0,1,1,0,0,0,2
Linda Coleman,,,Democrat,0,1,0,1,0,0,2
Libre Initiative,,,Organization,0,1,1,0,0,0,2
Liberty Counsel,,,None,0,0,0,1,0,1,2
Libertarian Party Of Georgia,,,Libertarian,0,0,1,0,1,0,2
Liberal Blogger,,,None,0,1,0,0,0,1,2
League Of Women Voters Of The Austin Area,,,Organization,0,0,2,0,0,0,2
Laurie Monnes Anderson,,Oregon,Democrat,1,0,0,0,1,0,2
Laura Tyson,,California,Democrat,0,1,1,0,0,0,2
Larry Sabato,,,None,1,1,0,0,0,0,2
Larry Kudlow,,,Republican,0,0,0,0,1,1,2
Larry Ashley,,Florida,Republican,0,0,0,1,0,0,2
L. Lin Wood,,,Republican,0,0,0,0,1,1,2
Kris Kobach,,,Republican,0,0,0,1,1,0,2
Kip Kendrick,,Missouri,Democrat,0,1,1,0,0,0,2
Kimberly Guilfoyle,,,None,0,0,0,0,1,1,2
Kim Simac,,Wisconsin,Republican,1,0,0,1,0,0,2
Kiki Curls,,Missouri,Democrat,0,1,1,0,0,0,2
Kevin Reilly,,Wisconsin,State official,1,0,1,0,0,0,2
Kevin Flynn,,Rhode Island,State official,0,0,1,0,0,0,2
Kevin Coughlin,,Ohio,Republican,0,0,0,0,1,0,2
Kevin Boyce,,Ohio,Democrat,1,0,0,0,0,1,2
Kesha Rogers,,Texas,Democrat,0,0,1,1,0,0,2
Ken Langone,,New York,None,0,0,0,1,0,0,2
Ken Detzner,,Florida,Republican,0,1,0,0,1,0,2
Kelli Ward,,,Republican,0,0,1,0,1,0,2
Kelli Stargel,,Florida,Republican,0,0,0,2,0,0,2
Keisha Lance Bottoms,,,Democrat,0,2,0,0,0,0,2
Keep The Promise 1 Pac,,,Republican,0,0,1,0,1,0,2
Keep Conservatives United,,North Carolina,Republican,0,0,0,1,0,1,2
Kathy Manning,,,Democrat,0,0,2,0,0,0,2
Kathy Hochul,,,Democrat,0,1,0,0,0,1,2
Kathy Castor,,Florida,Democrat,1,0,1,0,0,0,2
Kathie Glass,,Texas,Libertarian,0,0,0,0,0,2,2
Kate Brown,,Oregon,Democrat,1,0,0,1,0,0,2
Karen Harrington,,Florida,Republican,0,0,1,0,1,0,2
Kai Ryssdal,,,None,0,0,0,0,1,0,2
Justin Amash,,Michigan,Republican,1,0,0,0,1,0,2
Julie Pace,,Washington,Journalist,0,2,0,0,0,0,2
Julaine Appling,,Wisconsin,None,0,0,0,0,2,0,2
Judson Hill,,,Republican,0,0,1,1,0,0,2
Joyce Kaufman,,Florida,Talk show host,1,0,0,0,0,0,2
Joyce Beatty,,Ohio,Democrat,0,1,0,1,0,0,2
Joy Pullmann,,Illinois,None,0,0,1,0,0,0,2
Joshua Feuerstein,,,Republican,0,0,0,0,0,2,2
Josh Mckoon,,,Republican,1,0,0,0,1,0,2
Joseph Trillo,,Rhode Island,Republican,0,0,1,0,0,1,2
Joseph Crowley,,New York,Democrat,1,0,1,0,0,0,2
Jonathan Stickland,,Texas,Republican,0,0,0,1,0,1,2
Jonathan Karl,,,Journalist,2,0,0,0,0,0,2
Jon Voight,,,Republican,0,0,0,0,1,0,2
Jon Brien,,Rhode Island,Democrat,0,0,0,0,0,1,2
Jon Bramnick,,New Jersey,Republican,0,1,0,1,0,0,2
John Taylor,,Pennsylvania,Republican,1,0,0,0,0,0,2
John Shimkus,,Illinois,Republican,0,0,0,1,0,0,2
John Podesta,,Illinois,Democrat,1,0,0,1,0,0,2
John Lee,,Oregon,Republican,0,0,1,0,1,0,2
John Kirby,,"Washington, D.C.",Democrat,0,0,0,0,1,0,2
John King,,,None,1,1,0,0,0,0,2
John Kennedy,,, None,0,0,0,0,0,1,2
John Kelly,,,None,1,0,0,0,1,0,2
John James,,,Republican,0,0,0,1,1,0,2
John G. Edwards,,,Democrat,0,1,0,0,1,0,2
John Flanagan,,,Republican,0,1,0,1,0,0,2
John Fetterman,,PA - Pennsylvania,Democrat,1,0,0,0,0,0,2
John Duncan,,Tennessee,Republican,0,0,0,1,1,0,2
John Dennis,,California,Republican,1,0,0,0,0,0,2
John Charles,,Oregon,Libertarian,0,1,1,0,0,0,2
John Carlevale,,Rhode Island,Republican,0,0,1,0,1,0,2
John Burzichelli,,,Democrat,0,0,0,1,1,0,2
John Burton,,California,Democrat,1,0,0,0,0,0,2
John Boccieri,,Ohio,Democrat,1,0,1,0,0,0,2
John Bel Edwards,,Louisiana,Democrat,1,1,0,0,0,0,2
John Barrow,,Georgia,Democrat,0,1,1,0,0,0,2
John Barrasso,,Wyoming,Republican,1,0,0,1,0,0,2
Joe Roman,,Ohio,Business leader,1,0,0,0,0,0,2
Joe Negron,,Florida,Republican,0,1,1,0,0,0,2
Joe Heck,,Nevada,Republican,0,0,2,0,0,0,2
Joe Garcia,,Florida,Democrat,0,0,0,0,2,0,2
Joe Cunningham,,,Democrat,0,2,0,0,0,0,2
Joe Brown,,Tennessee,Democrat,0,0,0,0,0,1,2
Jodie Laubenberg,,Texas,Republican,0,1,0,0,0,1,2
Jimmy Kimmel,,,None,0,1,0,0,1,0,2
Jimmy Flannigan,,Texas,None,0,0,0,1,0,0,2
Jim Waldman,,Florida,Democrat,1,0,0,1,0,0,2
Jim Huffman,,Oregon,Republican,0,1,0,0,1,0,2
Jim Hightower,,Texas,Democrat,0,0,0,1,1,0,2
Jim Bohl,,Wisconsin,None,0,0,1,1,0,0,2
Jim Barksdale,,Georgia,Democrat,0,0,2,0,0,0,2
Jesse Watters,,,Talk show host,0,0,0,0,2,0,2
Jesse Jackson,,Illinois,Democrat,0,1,0,0,1,0,2
Jerry Falwell Jr.,,,None,1,0,0,0,1,0,2
Jerrold Nadler,US Representative,New York,Democrat,0,1,1,0,0,0,2
Jerome Adams,,,Newsmaker,0,0,1,0,1,0,2
Jennifer Carroll,,Florida,Republican,0,0,0,0,1,1,2
Jennette Gayer,,,None,0,1,1,0,0,0,2
Jeff Weems,,Texas,Democrat,1,0,0,1,0,0,2
Jeff Miller,,Florida,Republican,0,1,0,1,0,0,2
Jeff Denham,,,Republican,0,0,1,0,1,0,2
Jean Evans,,,Republican,0,0,1,1,0,0,2
Jd Wooten,,,Democrat,0,1,0,1,0,0,2
Jay Rockefeller,,West Virginia,Democrat,1,0,1,0,0,0,2
Jay Goyal,,Ohio,Democrat,0,0,0,1,0,0,2
Jay Chaudhuri,,,Democrat,1,1,0,0,0,0,2
Jason Stanford,,Texas,Democrat,0,1,0,1,0,0,2
Jason Miller,,,Republican,0,0,0,0,2,0,2
Jason Kander,,Missouri,Democrat,0,1,0,1,0,0,2
Jason Chaffetz,,Utah,Republican,0,0,0,0,1,1,2
Jared Kushner,,,Republican,0,0,0,1,0,1,2
Janice Hahn,,California,Democrat,1,0,1,0,0,0,2
Janet Bewley,,,Democrat,0,0,1,1,0,0,2
Janel Brandtjen,,,Republican,0,0,0,1,1,0,2
Jamie Oliver,,,None,0,0,1,0,0,0,2
James Tedisco,,,Republican,1,0,1,0,0,0,2
James Inhofe,,Oklahoma,Republican,0,1,0,0,1,0,2
James Capretta,,,Republican,0,0,1,0,0,0,2
James Bennett,,Rhode Island,Newsmaker,0,0,0,0,1,1,2
Jalen Ross,,,None,0,1,0,0,0,0,2
Jacob Wohl,,,Republican,0,0,0,0,0,2,2
Jack Posobiec,,,Republican,0,0,0,2,0,0,2
Jack Lew,,"Washington, D.C. ",Democrat,0,1,0,0,1,0,2
Jack Latvala,,Florida,Republican,1,0,1,0,0,0,2
Internet Commenters,,,None,0,0,0,0,2,0,2
Ian Bremmer,,New York,None,1,1,0,0,0,0,2
Hunter Schwarz,,,None,1,0,0,0,0,0,2
Howard Schultz,,,None,0,1,0,1,0,0,2
Howard Marklein,,Wisconsin,Republican,0,0,0,1,1,0,2
Holly Turner,,Texas,Republican,1,0,0,0,1,0,2
Holly Benson,,Florida,Republican,0,2,0,0,0,0,2
Hogan Gidley,,,Republican,0,0,0,0,2,0,2
Hillary Mann Leverett,,,None,0,1,0,0,0,0,2
Hilary Rosen,,,Democrat,0,2,0,0,0,0,2
Herb Kohl,,Wisconsin,Democrat,0,1,0,1,0,0,2
Henry Cisneros,,Texas,Democrat,1,1,0,0,0,0,2
Helio Melo,,Rhode Island,Democrat,0,0,0,0,1,1,2
Harold Metts,,Rhode Island,Democrat,0,1,0,0,1,0,2
Haley Barbour,,Mississippi,Republican,0,0,0,1,1,0,2
Gregg Jarrett,,,Republican,0,0,0,0,1,1,2
Greg Kelly,,,Talk show host,0,0,0,0,2,0,2
Greg Casar,,,None,0,1,0,0,1,0,2
Graeme Zielinski,,Wisconsin,Democrat,0,0,0,0,0,2,2
Glen Sturtevant,,,Republican,1,0,0,0,1,0,2
Gil Kerlikowske,,Washington state,Democrat,0,0,1,0,0,0,2
Giffords,Nonprofit Organization,None,None,0,1,0,1,0,0,2
Gery Chico,,,None,0,0,1,1,0,0,2
Gerald Mccormick,,,Republican,0,0,0,0,1,0,2
Gerald Daugherty,,Texas,Republican,0,0,1,1,0,0,2
Georgians Together,,Georgia ,Democrat,0,0,1,1,0,0,2
Georgia Lottery,,,None,1,1,0,0,0,0,2
George Voinovich,US Senator,Ohio,Republican,2,0,0,0,0,0,2
George Flinn,Former Commissioner,Tennessee,Republican,0,0,0,0,1,1,2
George Clooney,Actor,California,Democrat,0,0,1,0,0,0,2
Genevieve Wood,,,Republican,0,1,0,0,0,0,2
Gene Wu,,,Democrat,0,0,0,0,2,0,2
Gene Sperling,,,Democrat,1,0,0,1,0,0,2
Gary Sasse,,Rhode Island,Newsmaker,2,0,0,0,0,0,2
Gary Peters,,Michigan,Democrat,0,0,2,0,0,0,2
Gary Chiusano,,New Jersey,Republican,0,0,0,0,1,0,2
Gary Black,,Georgia ,Republican,0,1,1,0,0,0,2
Gabrielle Giffords,Former US Representative,Arizona,Democrat,1,1,0,0,0,0,2
Future45,,, Republican,0,0,1,0,0,1,2
Fulton County Health And Wellness,,,None,1,1,0,0,0,0,2
Freedom Daily,,,None,0,0,0,1,0,1,2
Free Thought Project,,,None,0,0,0,1,1,0,2
Fred Upton,,Michigan,Republican,0,0,0,0,2,0,2
Frank Lasee,,,Republican,0,0,0,0,1,0,2
Fox News Channel,,,None,0,0,1,1,0,0,2
Foramerica,,,None,0,0,0,1,1,0,2
Floridians For Ethics And Truth In Politics,,,Republican,0,1,0,0,1,0,2
Florida Voter,,,None,0,1,0,0,1,0,2
Florida Stop Common Core Coalition,,Florida,None,0,0,1,0,0,1,2
Florida First Initiative,,Florida,None,0,0,0,1,1,0,2
Florida Conference Of Catholic Bishops,,,None,0,1,0,1,0,0,2
Fight For The Future,,,Organization,0,1,1,0,0,0,2
Federation For American Immigration Reform,,,Organization,0,0,1,1,0,0,2
Evan Goyke,,Wisconsin,Democrat,1,0,0,0,0,0,2
Eva Longoria Baston,,,Democrat,0,0,2,0,0,0,2
Eugene Robinson,,,None,0,2,0,0,0,0,2
Ernest Almonte,,Rhode Island,Independent,0,1,0,0,1,0,2
Erik Wallin,,Rhode Island,Republican,0,0,0,0,1,0,2
Erica Smith,,,Democrat,0,0,1,0,1,0,2
Eric Burlison,,,Republican,0,1,1,0,0,0,2
Enterprise Florida,,Florida,Organization,0,0,0,1,0,0,2
Energycitizens.Org,,,None,0,0,0,2,0,0,2
Empower Texans,,Texas,None,0,1,0,1,0,0,2
Emma Watson,,,None,0,0,2,0,0,0,2
Emergency Committee For Israel,,,None,0,0,0,2,0,0,2
Emanuel Cleaver,,Missouri,Democrat,0,0,0,1,0,0,2
Ellen Troxclair,,Texas,None,0,0,0,0,1,1,2
Ellen Rosenblum,,,Democrat,1,0,0,1,0,0,2
Elise Stefanik,,New York,Republican,0,0,0,1,1,0,2
Elijah Cummings,,Maryland,Democrat,2,0,0,0,0,0,2
Elaine Boyer,,,Republican,0,1,1,0,0,0,2
Education Action Group,,Michigan,Organization,0,0,0,0,0,1,2
Edith Ajello,,Rhode Island,Democrat,1,0,0,0,1,0,2
Eddie Bernice Johnson,,Texas,Democrat,1,0,0,0,1,0,2
Ed Rendell,,Pennsylvania,Democrat,0,0,0,1,0,1,2
Ed Garvey,,Wisconsin,Democrat,0,0,0,0,2,0,2
Ed Fallone,,,None,0,1,0,0,1,0,2
Dwayne Bohac,,Texas,Republican,0,0,0,0,1,0,2
Duf Sundheim,,California,Republican,0,0,0,0,1,0,2
Dubose Porter,,,Democrat,1,1,0,0,0,0,2
Drudge Report,,,None,0,0,0,0,0,2,2
Doug Otto,,Texas,None,0,0,0,0,1,0,2
Doug Macginnitie,,,Republican,0,0,0,1,1,0,2
Doreen Costa,,Rhode Island,Republican,1,0,0,0,1,0,2
Donna Shalala,,Florida,None,0,0,1,1,0,0,2
Donna Seidel,,Wisconsin,Democrat,1,0,0,0,1,0,2
Donald Carcieri,,Rhode Island,Republican,0,1,1,0,0,0,2
Don Willett,,Texas,Republican,1,1,0,0,0,0,2
Don Pridemore,,,Republican,1,0,0,0,1,0,2
Dominick Marino,,New Jersey,None,0,0,1,0,0,0,2
Dolores Gresham,,Tennessee,Republican,0,0,0,0,2,0,2
Doctors Without Borders,,,None,0,1,1,0,0,0,2
Dick Morris,,,None,0,0,0,0,2,0,2
Dick Greco,,,None,0,0,1,1,0,0,2
Diana Degette,,,Democrat,0,1,1,0,0,0,2
Deval Patrick,,Massachusetts,Democrat,0,1,1,0,0,0,2
Desmond Meade,,Florida,None,0,2,0,0,0,0,2
Denny Hoskins,,,Republican,0,0,1,1,0,0,2
Dennis Linthicum,,Oregon,Republican,0,0,1,0,0,0,2
Dennis Baxley,,Florida,Republican,0,0,1,1,0,0,2
Dekalb County,,,None,0,1,0,1,0,0,2
Deirdre Imus,,,Republican,0,0,0,0,1,0,2
Defending Main Street,,,Republican,0,0,0,1,1,0,2
Defenders Of Wildlife Action Fund,,,None,2,0,0,0,0,0,2
Deanna Lorraine,,,Republican,0,0,0,1,1,0,2
Dean Heller,,,Republican,0,0,0,2,0,0,2
David Zuckerman,,,Democrat,0,1,0,1,0,0,2
David Stockman,,Connecticut,Republican,1,0,0,0,0,0,2
David Simpson,,Texas,Republican,1,1,0,0,0,0,2
David Sciarra,,New Jersey,None,0,1,0,0,1,0,2
David Rouzer,,,Republican,0,0,0,1,1,0,2
David Rivera,,Florida,Republican,0,0,0,0,2,0,2
David Prosser,,Wisconsin,Republican,0,0,0,0,0,1,2
David Price,,,Democrat,0,1,1,0,0,0,2
David Pennington,,Georgia,None,1,0,0,1,0,0,2
David Miliband,,,None,1,1,0,0,0,0,2
David Gregory,,"Washington, D.C.",None,0,1,0,1,0,0,2
David Corn,,,Democrat,0,0,1,0,0,0,2
Dave Joyce,,Ohio,Republican,2,0,0,0,0,0,2
Dave Hansen,,Wisconsin,Democrat,0,1,0,0,1,0,2
Darren Jackson,,,Democrat,1,1,0,0,0,0,2
Darin Lahood,,,Republican,0,0,0,0,1,1,2
Dannel Malloy,,Connecticut,Democrat,0,1,1,0,0,0,2
Danielle Pletka,,,None,0,0,0,0,2,0,2
